food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Soyabean namak paras,4.65,2.65,89.83,1.41,838.46,838.46,30.0,Low,Estimated(Category),Medium,1.4,Veg
Peanut burfi (Moongfali ki burfi),48.14,9.31,36.84,4.09,550.99,550.99,45.0,Low,Estimated(Category),Medium,21.66,Veg
Spinach peanut namak paras (Palak moongfali namak paras),6.62,1.65,78.51,0.81,740.16,740.16,45.0,Low,Estimated(Category),Medium,2.98,Veg
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),7.63,2.08,80.04,1.39,758.89,758.89,30.0,Low,Estimated(Category),Medium,2.29,Veg
Rice moong dal cheela (Chawal aur moong dal ka cheela),11.13,2.74,82.44,1.18,798.26,798.26,75.0,High,Estimated(Category),Medium,8.35,Veg
Split bengal gram sweet rice (Channa dal sweet rice),41.07,4.15,0.64,2.23,190.21,190.21,75.0,High,Estimated(Category),Medium,30.8,Veg
Sweet poori (Meethi poori),14.26,2.12,79.63,1.54,782.75,782.75,55.0,Low,Estimated(Category),Medium,7.84,Veg
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),60.0,9.84,18.41,6.02,441.08,441.08,55.0,Low,Estimated(Category),Medium,33.0,Veg
Spinach burfi (Palak burfi),12.76,2.71,6.81,1.17,121.17,121.17,38.4,Low,Estimated(Nutrient),Low,4.9,Veg
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),62.66,9.51,7.93,8.16,366.59,366.59,45.0,Low,Estimated(Category),Medium,28.2,Veg
Sprouted moong daliya ,14.77,2.81,4.71,3.12,111.56,111.56,30.0,Low,Estimated(Category),Medium,4.43,Veg
Sprouted moong poha ,26.6,5.59,6.89,3.13,192.6,192.6,30.0,Low,Estimated(Category),Medium,7.98,Veg
Pearl millet ladoo (Bajra ladoo),50.98,9.61,8.06,6.0,319.66,319.66,45.0,Low,Estimated(Category),Medium,22.94,Veg
Paushtik ladoo,60.34,7.65,24.98,4.57,485.87,485.87,39.9,Low,Estimated(Nutrient),Low,24.08,Veg
Paushtik roti,26.59,7.17,1.51,5.74,149.26,149.26,55.0,Low,Estimated(Category),Medium,14.62,Veg
Semolina carrot vada (Suji gajar vada),6.52,1.56,74.07,1.07,699.53,699.53,45.0,Low,Estimated(Category),Medium,2.93,Veg
Dhokla,30.68,13.45,5.28,4.95,216.49,216.49,85.0,High,Measured,High,26.08,Veg
Kashmiri tea (Kehwa),5.23,0.17,0.51,0.16,24.9,24.9,53.0,Low,Estimated(Nutrient),Low,2.77,Veg
Steeped hot coffee,3.01,0.39,0.33,0.0,15.91,15.91,44.5,Low,Estimated(Nutrient),Low,1.34,Veg
Hot chocolate,9.02,3.43,4.61,0.0,90.01,90.01,35.0,Low,Estimated(Nutrient),Low,3.16,Veg
Cold coffee (with cream),11.98,1.93,3.29,0.0,82.76,82.76,46.1,Low,Estimated(Nutrient),Low,5.52,Veg
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),11.15,2.01,2.77,0.27,76.45,76.45,63.0,Medium,Estimated(Category),Medium,7.02,Veg
Flavoured milkshake,8.65,2.06,2.83,0.0,66.78,66.78,45.0,Low,Estimated(Category),Medium,3.89,Veg
Jal jeera,6.7,0.44,0.26,0.95,30.24,30.24,55.8,Medium,Estimated(Nutrient),Low,3.74,Veg
Gingo,12.42,0.14,0.06,0.17,48.02,48.02,63.8,Medium,Estimated(Nutrient),Low,7.92,Veg
Mintade,10.59,0.03,0.02,0.03,40.32,40.32,63.7,Medium,Estimated(Nutrient),Low,6.75,Veg
Canjee,0.44,0.24,0.42,0.36,6.61,6.61,25.0,Low,Estimated(Nutrient),Low,0.11,Veg
Cauliflower canjee (Phoolgobhi ki canjee),0.35,0.39,0.42,0.49,6.9,6.9,35.0,Low,Estimated(Category),Medium,0.12,Veg
Potato canjee (Aloo canjee),2.69,0.44,0.39,0.43,16.26,16.26,80.0,High,Estimated(Category),Medium,2.15,Veg
Vermicelli porridge (Semiya/Seviyan porridge),10.56,2.5,2.98,0.48,78.4,78.4,43.4,Low,Estimated(Nutrient),Low,4.58,Veg
Semolina upma (Suji/Rava upma),16.31,3.3,7.49,3.24,147.89,147.89,75.0,High,Estimated(Category),Medium,12.23,Veg
Vermicelli upma (Semiya/Seviyan upma),16.88,3.11,7.45,3.21,149.11,149.11,75.0,High,Estimated(Category),Medium,12.66,Veg
Rice upma,17.96,2.63,7.46,2.12,151.27,151.27,75.0,High,Estimated(Category),Medium,13.47,Veg
Bread upma,12.6,2.8,7.75,1.96,129.51,129.51,75.0,High,Estimated(Category),Medium,9.45,Veg
Vegetable upma,16.46,4.73,6.63,4.19,146.47,146.47,75.0,High,Estimated(Category),Medium,12.34,Veg
Poha,35.05,6.09,14.14,3.72,294.53,294.53,38.6,Low,Estimated(Nutrient),Low,13.53,Veg
Vegetable poha,21.52,4.89,8.07,3.76,180.52,180.52,35.0,Low,Estimated(Category),Medium,7.53,Veg
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),19.42,6.97,5.11,4.25,154.89,154.89,30.0,Low,Estimated(Category),Medium,5.83,Veg
Paneer stuffed cheela/chilla,19.16,11.44,8.89,4.03,205.19,205.19,35.0,Low,Estimated(Category),Medium,6.71,Veg
Indian style egg bhujia (Anda bhujia (Indian style)),3.76,6.1,7.02,1.53,102.83,102.83,25.0,Low,Estimated(Nutrient),Low,0.94,Non-Veg
French omelette/omlet,0.41,10.03,18.86,0.38,211.04,211.04,25.0,Low,Estimated(Nutrient),Low,0.1,Veg
Puffy omelette/omlet,0.08,8.82,16.84,0.0,188.15,188.15,25.0,Low,Estimated(Nutrient),Low,0.02,Veg
Orange omelette/omlet,1.68,8.93,16.84,0.0,194.66,194.66,45.0,Low,Estimated(Category),Medium,0.76,Veg
Cheese and mushroom omelette/omlet,1.68,9.69,17.82,0.93,205.63,205.63,45.0,Low,Estimated(Category),Medium,0.76,Veg
Spanish omelette/omlet,5.1,8.25,11.44,2.54,157.45,157.45,25.0,Low,Estimated(Nutrient),Low,1.27,Veg
Mixed stock,0.33,2.06,1.71,0.15,25.19,25.19,25.0,Low,Estimated(Nutrient),Low,0.08,Veg
Meat stock,0.0,2.1,1.78,0.0,24.48,24.48,25.0,Low,Estimated(Nutrient),Low,0.0,Non-Veg
White stock,0.4,0.07,0.56,0.17,6.99,6.99,25.0,Low,Estimated(Nutrient),Low,0.1,Veg
Meat consomme (with mutton),0.51,14.86,13.68,0.71,29.76,29.76,25.0,Low,Estimated(Nutrient),Low,0.13,Non-Veg
Consomme au julienne,1.49,12.49,10.66,1.38,27.76,27.76,25.0,Low,Estimated(Nutrient),Low,0.37,Veg
Consomme au vermicelli,1.3,15.23,12.98,0.81,29.94,29.94,25.0,Low,Estimated(Nutrient),Low,0.32,Veg
Green pea soup (Matar ka soup),3.63,11.06,12.9,2.49,39.81,39.81,25.0,Low,Estimated(Nutrient),Low,0.91,Veg
Spinach soup (Palak ka soup),3.03,10.54,14.26,1.98,32.59,32.59,25.0,Low,Estimated(Nutrient),Low,0.76,Veg
Mixed vegetable soup,2.95,8.22,11.66,1.64,35.71,35.71,35.0,Low,Estimated(Category),Medium,1.03,Veg
Cheese soup,1.87,12.39,17.07,1.8,41.13,41.13,25.0,Low,Estimated(Nutrient),Low,0.47,Veg
Mulligatawny soup,8.24,11.26,13.28,2.6,54.42,54.42,25.0,Low,Estimated(Nutrient),Low,2.06,Veg
Cream of carrot soup,5.69,8.27,12.35,1.98,59.77,59.77,45.0,Low,Estimated(Category),Medium,2.56,Veg
Cream of broccoli soup,3.72,8.97,12.75,1.89,56.14,56.14,45.0,Low,Estimated(Category),Medium,1.67,Veg
Cream of potato soup,6.14,8.1,12.05,1.51,60.2,60.2,80.0,High,Estimated(Category),Medium,4.91,Veg
Almond soup (Badam ka soup),3.68,10.13,13.8,0.91,78.65,78.65,25.0,Low,Estimated(Nutrient),Low,0.92,Veg
Cold cucumber cream soup ,1.76,0.34,0.34,0.73,11.88,11.88,35.8,Low,Estimated(Nutrient),Low,0.63,Veg
Cold tomato soup,0.59,0.11,1.56,0.16,16.9,16.9,45.0,Low,Estimated(Category),Medium,0.27,Veg
Chicken stew,4.44,7.19,8.91,1.82,127.55,127.55,25.0,Low,Estimated(Nutrient),Low,1.11,Non-Veg
Veg paneer stew,10.22,6.98,8.41,3.08,145.55,145.55,35.0,Low,Estimated(Category),Medium,3.58,Veg
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),26.37,4.37,7.27,5.16,191.27,191.27,55.0,Low,Estimated(Category),Medium,14.5,Veg
Methi parantha/paratha,22.19,4.27,4.34,5.09,148.36,148.36,55.0,Low,Estimated(Category),Medium,12.2,Veg
Bathua poori,13.85,2.35,59.14,1.87,598.79,598.79,55.0,Low,Estimated(Category),Medium,7.62,Veg
Gram flour poori (Besan poori),10.93,2.59,71.51,1.94,697.66,697.66,55.0,Low,Estimated(Category),Medium,6.01,Veg
Beetroot poori (Chukandar ki poori),12.29,1.91,52.18,1.4,527.66,527.66,55.0,Low,Estimated(Category),Medium,6.76,Veg
Peas poori (Matar ki poori),14.92,3.04,57.69,2.25,592.83,592.83,55.0,Low,Estimated(Category),Medium,8.21,Veg
Peas kachori (Matar kachori),13.25,3.21,57.51,2.03,584.68,584.68,25.0,Low,Estimated(Nutrient),Low,3.31,Veg
Pizza,9.94,6.85,8.72,1.71,146.77,146.77,80.0,High,Estimated(Category),Medium,7.95,Veg
Bacon and mushroom pancake,8.47,6.82,10.6,1.59,157.67,157.67,45.0,Low,Estimated(Category),Medium,3.81,Veg
Cheese and tomato pancake,10.66,5.15,9.28,1.06,147.39,147.39,45.0,Low,Estimated(Category),Medium,4.8,Veg
Minced meat pancake (with chicken),8.18,12.01,10.48,0.7,116.04,116.04,25.0,Low,Estimated(Nutrient),Low,2.04,Non-Veg
Eggplant/Brinjal rice (Vangi bhat),31.74,5.28,3.67,4.44,184.8,184.8,45.0,Low,Estimated(Category),Medium,14.28,Veg
Kashmiri 'tahar',19.11,1.95,1.37,0.98,98.21,98.21,57.1,Medium,Estimated(Nutrient),Low,10.91,Veg
Cumin pulao (Jeera/Zeera pulao),23.61,2.47,3.2,1.4,135.24,135.24,54.6,Low,Estimated(Nutrient),Low,12.89,Veg
Peas pulao (Matar pulao),18.42,3.89,1.9,3.21,108.87,108.87,51.1,Low,Estimated(Nutrient),Low,9.41,Veg
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),19.72,3.6,2.3,3.16,116.53,116.53,30.0,Low,Estimated(Category),Medium,5.92,Veg
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),21.55,3.44,2.58,2.69,125.51,125.51,30.0,Low,Estimated(Category),Medium,6.46,Veg
Mutton pulao,11.26,6.52,10.78,1.65,130.77,130.77,25.0,Low,Estimated(Nutrient),Low,2.82,Non-Veg
Chicken pulao,11.17,6.07,8.48,1.64,108.24,108.24,29.3,Low,Estimated(Nutrient),Low,3.27,Non-Veg
Mexican rice,14.21,4.62,4.88,1.64,120.57,120.57,75.0,High,Estimated(Category),Medium,10.66,Veg
Plain khitchdi (Plain khichri/khichdi),10.04,1.72,1.01,0.85,57.03,57.03,51.0,Low,Estimated(Nutrient),Low,5.12,Veg
Instant idli (with semolina),43.4,9.16,3.61,7.13,247.29,247.29,75.0,High,Estimated(Category),Medium,32.55,Veg
Plain dosa,64.08,10.34,8.43,5.23,380.91,380.91,75.0,High,Estimated(Category),Medium,48.06,Veg
Masala dosa mixed vegetable fillings,23.02,4.84,3.26,4.31,144.53,144.53,75.0,High,Estimated(Category),Medium,17.26,Veg
Masala dosa paneer fillings,29.76,10.31,8.84,3.11,243.12,243.12,75.0,High,Estimated(Category),Medium,22.32,Veg
Uttapam,36.28,6.18,9.03,4.4,255.95,255.95,55.0,Low,Measured,High,19.95,Veg
Appam,13.28,3.12,22.63,6.19,267.7,267.7,75.0,High,Estimated(Category),Medium,9.96,Veg
Beans and macaroni,14.24,4.58,7.01,2.05,136.08,136.08,45.0,Low,Estimated(Category),Medium,6.41,Veg
Spaghetti bolognese,10.04,9.35,9.51,1.08,97.43,97.43,25.0,Low,Estimated(Nutrient),Low,2.51,Veg
Meat and macaroni casserole,16.12,9.15,10.17,1.19,161.55,161.55,26.0,Low,Estimated(Nutrient),Low,4.19,Non-Veg
Spaghetti with meat balls and tomato sauce,10.46,5.61,10.64,1.11,158.13,158.13,45.0,Low,Estimated(Category),Medium,4.71,Non-Veg
Spaghetti with paneer balls and tomato sauce,12.72,3.95,10.44,1.25,158.54,158.54,45.0,Low,Estimated(Category),Medium,5.72,Veg
Lasagne with meat sauce,5.38,2.9,3.43,0.47,63.38,63.38,29.6,Low,Estimated(Nutrient),Low,1.59,Non-Veg
Lasagne with vegetables,5.9,1.71,2.16,0.66,49.23,49.23,35.0,Low,Estimated(Category),Medium,2.06,Veg
Home made egg noodles,42.92,6.55,4.37,1.6,240.84,240.84,54.8,Low,Estimated(Nutrient),Low,23.52,Non-Veg
Sour lentils (Khatti dal),6.04,2.22,0.12,1.22,34.79,34.79,45.0,Low,Estimated(Category),Medium,2.72,Veg
Urad special dehusked,8.86,3.14,2.17,2.5,69.43,69.43,40.9,Low,Estimated(Nutrient),Low,3.62,Veg
Arhar with spinach (Arhar dal aur palak),4.77,2.05,2.76,1.3,52.84,52.84,30.0,Low,Estimated(Category),Medium,1.43,Veg
Moong dal with vadi,1.0,0.4,2.05,0.39,24.08,24.08,30.0,Low,Estimated(Category),Medium,0.3,Veg
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),3.37,1.13,0.88,1.6,26.74,26.74,37.0,Low,Estimated(Nutrient),Low,1.25,Veg
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),2.85,1.11,0.87,1.54,24.41,24.41,45.0,Low,Estimated(Category),Medium,1.28,Veg
Green gram whole with baghar (Sabut moong dal with tadka),6.8,3.23,2.48,3.02,63.43,63.43,30.0,Low,Estimated(Category),Medium,2.04,Veg
Urad sabut special,5.03,2.33,5.46,2.15,79.39,79.39,25.5,Low,Estimated(Nutrient),Low,1.28,Veg
Kabuli channa curry,7.63,2.92,3.06,1.12,68.57,68.57,40.0,Low,Estimated(Category),Medium,3.05,Veg
Besan gatte curry,16.26,7.75,10.72,3.25,189.38,189.38,40.0,Low,Estimated(Category),Medium,6.5,Veg
Dry masala chops,3.3,9.08,9.54,0.86,135.07,135.07,25.0,Low,Estimated(Nutrient),Low,0.82,Veg
Mutton korma,2.53,7.09,8.54,0.78,115.64,115.64,25.0,Low,Estimated(Nutrient),Low,0.63,Non-Veg
Shahi keema kofta curry,1.73,4.14,43.83,0.91,418.13,418.13,40.0,Low,Estimated(Category),Medium,0.69,Veg
Minced meat ball curry,2.86,6.82,7.85,1.49,109.79,109.79,40.0,Low,Estimated(Category),Medium,1.14,Non-Veg
Boti kebab,3.06,9.22,9.27,0.76,132.86,132.86,25.0,Low,Estimated(Nutrient),Low,0.76,Veg
Mutton seekh kebab,3.11,11.25,8.43,1.88,133.94,133.94,25.0,Low,Estimated(Nutrient),Low,0.78,Non-Veg
Indian lamb and egg curry (Nargisi kofta),2.07,3.84,34.7,0.6,335.75,335.75,40.0,Low,Estimated(Category),Medium,0.83,Non-Veg
Soya chunks sweet and sour (Nutrinugget sweet and sour),3.27,2.85,55.99,0.86,500.94,500.94,90.0,High,Estimated(Category),Medium,2.94,Veg
Soya chunks korma (Nutrinugget korma),7.67,3.86,9.5,2.57,131.43,131.43,25.0,Low,Estimated(Nutrient),Low,1.92,Veg
Mushroom matar,5.33,2.79,4.11,3.13,70.77,70.77,45.0,Low,Estimated(Category),Medium,2.4,Veg
Soya chunks and peas (Nutrinugget matar),5.82,3.03,5.11,2.86,82.62,82.62,27.2,Low,Estimated(Nutrient),Low,1.58,Veg
Vegetable yakhni,1.94,1.18,43.8,0.61,406.06,406.06,35.0,Low,Estimated(Category),Medium,0.68,Veg
Spinach mushroom (Palak mushroom),2.95,1.94,2.96,2.27,47.63,47.63,45.0,Low,Estimated(Category),Medium,1.33,Veg
Vegetarian nargisi kofta curry,6.58,2.29,32.94,0.86,332.15,332.15,40.0,Low,Estimated(Category),Medium,2.63,Veg
Roast chicken,0.1,20.49,13.06,0.03,199.9,199.9,25.0,Low,Estimated(Nutrient),Low,0.02,Non-Veg
Shahi chicken masala,4.07,9.82,12.02,0.96,163.7,163.7,25.0,Low,Estimated(Nutrient),Low,1.02,Non-Veg
Tomato chicken,2.13,10.57,6.71,1.42,111.68,111.68,45.0,Low,Estimated(Category),Medium,0.96,Non-Veg
Creamy chicken,3.13,13.52,9.57,0.69,152.87,152.87,25.0,Low,Estimated(Nutrient),Low,0.78,Non-Veg
Broccoli chicken ala king,5.34,7.97,7.57,1.92,119.56,119.56,45.0,Low,Estimated(Category),Medium,2.4,Non-Veg
Ginger chicken,5.6,8.24,8.24,1.21,129.17,129.17,25.0,Low,Estimated(Nutrient),Low,1.4,Non-Veg
Chicken sweet and sour,2.67,6.92,47.59,0.58,445.09,445.09,90.0,High,Estimated(Category),Medium,2.4,Non-Veg
Chicken korma,5.43,9.83,9.67,1.82,147.96,147.96,0.0,Low,Measured,High,0.0,Non-Veg
Chicken korma,5.43,9.83,9.67,1.82,147.96,147.96,0.0,Low,Measured,High,0.0,Non-Veg
Bengal fish curry (Bengali machli curry),4.42,7.26,7.03,1.93,109.43,109.43,40.0,Low,Estimated(Category),Medium,1.77,Non-Veg
Fish finger,4.47,5.66,55.82,0.34,542.9,542.9,25.0,Low,Estimated(Nutrient),Low,1.12,Non-Veg
Fish in coconut milk (Nariyal ke doodh ke saath machli),2.73,8.66,4.43,1.52,86.21,86.21,45.0,Low,Estimated(Category),Medium,1.23,Non-Veg
Prawn curry (with coconut) (Jhinga curry),3.1,8.54,6.93,1.56,109.55,109.55,0.0,Low,Measured,High,0.0,Non-Veg
Baked stuffed fish,2.12,16.14,5.43,0.38,121.96,121.96,25.0,Low,Estimated(Nutrient),Low,0.53,Non-Veg
Fish pie,7.74,9.25,5.77,0.76,120.9,120.9,25.0,Low,Estimated(Nutrient),Low,1.94,Non-Veg
Crispy baked fish,9.59,10.95,6.41,1.21,138.4,138.4,25.0,Low,Estimated(Nutrient),Low,2.4,Non-Veg
Fish souffle,5.14,10.51,8.55,0.19,139.71,139.71,25.0,Low,Estimated(Nutrient),Low,1.28,Non-Veg
Potato curry (Aloo ki sabzi),10.42,1.52,4.47,2.42,89.56,89.56,80.0,High,Estimated(Category),Medium,8.34,Veg
Egg curry (Anda curry),4.03,5.38,8.81,2.09,117.52,117.52,40.0,Low,Estimated(Category),Medium,1.61,Non-Veg
Vegetable curry with coconut ,7.19,2.77,4.66,3.35,83.07,83.07,40.0,Low,Estimated(Category),Medium,2.88,Veg
Curd with potatoes (Dahi aloo),7.15,1.56,2.72,1.19,59.9,59.9,80.0,High,Estimated(Category),Medium,5.72,Veg
Potato kofta curry (Aloo kofta curry),2.78,0.56,49.08,0.56,455.4,455.4,80.0,High,Estimated(Category),Medium,2.22,Veg
Yam kofta curry (Zimikand/Suran kofta curry),3.75,0.71,33.84,1.04,322.88,322.88,40.0,Low,Estimated(Category),Medium,1.5,Veg
Jackfruit kofta curry (Kathal ka kofta curry),3.17,0.8,33.83,0.96,321.08,321.08,40.0,Low,Estimated(Category),Medium,1.27,Veg
Spinach and potato (Palak aloo),5.91,1.63,2.82,2.04,57.17,57.17,80.0,High,Estimated(Category),Medium,4.73,Veg
Mooli bhujia,4.74,1.69,7.25,2.36,91.2,91.2,25.0,Low,Estimated(Nutrient),Low,1.18,Veg
Bathua bhujia,3.63,2.26,7.29,3.8,90.9,90.9,25.0,Low,Estimated(Nutrient),Low,0.91,Veg
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),6.09,8.21,9.36,1.84,142.48,142.48,55.0,Low,Estimated(Category),Medium,3.35,Veg
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),7.03,5.76,8.17,2.35,124.63,124.63,55.0,Low,Estimated(Category),Medium,3.87,Veg
Dry arbi (Sookhi arbi),11.11,2.12,8.97,2.47,134.95,134.95,33.5,Low,Estimated(Nutrient),Low,3.72,Veg
Masala arbi,16.16,3.01,11.9,3.1,185.38,185.38,30.3,Low,Estimated(Nutrient),Low,4.9,Veg
Peas brinjal bhartha (Matar baingan bhartha),5.02,2.05,6.05,3.63,84.55,84.55,35.0,Low,Estimated(Category),Medium,1.76,Veg
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),4.5,1.83,9.27,3.57,110.81,110.81,35.0,Low,Estimated(Category),Medium,1.58,Veg
Crispy okra/Crispy lady's fingers (Karare bhindi),4.35,1.91,70.4,1.75,657.76,657.76,35.0,Low,Estimated(Category),Medium,1.52,Veg
Beans foogath,3.26,2.03,9.22,4.15,105.06,105.06,45.0,Low,Estimated(Category),Medium,1.47,Veg
Stuffed bittergourd (wet) (Bharwa karele),4.68,1.36,15.24,2.86,162.36,162.36,25.0,Low,Estimated(Nutrient),Low,1.17,Veg
Jackfruit/Kathal (dry),4.56,0.93,51.78,1.33,488.97,488.97,45.0,Low,Estimated(Category),Medium,2.05,Veg
Yam fried (Zimikand/Suran fried),5.47,0.79,51.79,1.44,491.76,491.76,25.0,Low,Estimated(Nutrient),Low,1.37,Veg
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",8.23,2.75,5.54,3.26,95.67,95.67,80.0,High,Estimated(Category),Medium,6.58,Veg
Vegetable jalfrezi,5.43,1.4,4.38,2.97,68.48,68.48,35.0,Low,Estimated(Category),Medium,1.9,Veg
Vegetables stir fry ,3.19,1.04,1.47,1.37,30.78,30.78,35.0,Low,Estimated(Category),Medium,1.12,Veg
Broccoli delight,2.34,2.49,2.48,2.83,40.7,40.7,45.0,Low,Estimated(Category),Medium,1.05,Veg
Dhansak (vegetarian),7.28,3.32,4.18,4.17,82.8,82.8,32.3,Low,Estimated(Nutrient),Low,2.35,Veg
Cauliflower basket,3.97,5.21,5.88,2.4,90.95,90.95,35.0,Low,Estimated(Category),Medium,1.39,Veg
Stuffed bottle gourd (Stuffed ghiya/lauki),4.36,5.84,5.8,1.18,93.19,93.19,25.0,Low,Estimated(Nutrient),Low,1.09,Veg
Ducheese potato,10.94,3.6,9.01,1.29,140.54,140.54,80.0,High,Estimated(Category),Medium,8.75,Veg
Roast potatoes ,14.52,1.53,2.35,1.71,87.32,87.32,80.0,High,Estimated(Category),Medium,11.62,Veg
Stuffed baked potatoes ,11.03,3.82,4.39,1.31,100.2,100.2,80.0,High,Estimated(Category),Medium,8.82,Veg
Potato nests,11.05,5.71,4.77,2.49,111.62,111.62,80.0,High,Estimated(Category),Medium,8.84,Veg
Parsley potato,13.81,1.49,6.28,1.59,119.51,119.51,80.0,High,Estimated(Category),Medium,11.05,Veg
Creamed spinach and mushroom,3.17,2.28,44.14,1.02,419.62,419.62,45.0,Low,Estimated(Category),Medium,1.43,Veg
Fricassee of Mushroom,8.13,3.65,6.63,1.23,106.66,106.66,45.0,Low,Estimated(Category),Medium,3.66,Veg
Cauliflower au gratin,9.13,4.45,10.2,1.44,145.9,145.9,35.0,Low,Estimated(Category),Medium,3.2,Veg
Vegetable and cheese pie,8.76,4.03,8.28,1.91,126.88,126.88,35.0,Low,Estimated(Category),Medium,3.07,Veg
Spinach souffle ,6.27,7.36,10.52,1.44,150.18,150.18,25.0,Low,Estimated(Nutrient),Low,1.57,Veg
Beetroot and egg salad (Chukandar aur ande ka salad),3.4,3.36,6.45,0.55,84.92,84.92,25.0,Low,Estimated(Nutrient),Low,0.85,Non-Veg
Sour cream potato salad,9.05,2.89,8.13,1.21,121.9,121.9,80.0,High,Estimated(Category),Medium,7.24,Veg
Tossed green salad,3.82,1.33,3.24,1.33,49.88,49.88,28.5,Low,Estimated(Nutrient),Low,1.09,Veg
Spring basket salad,11.61,3.36,11.3,3.09,160.46,160.46,25.0,Low,Estimated(Nutrient),Low,2.9,Veg
Cucumber and yogurt salad (Kheere aur dahi ka salad),4.72,2.09,0.93,1.66,36.13,36.13,45.0,Low,Estimated(Category),Medium,2.12,Veg
Chicken and tomato towers,2.36,6.9,6.99,1.14,100.55,100.55,45.0,Low,Estimated(Category),Medium,1.06,Non-Veg
Jellied sunshine fruit salad,4.21,5.85,0.85,1.8,48.86,48.86,45.0,Low,Estimated(Category),Medium,1.89,Veg
Tomato aspic,5.02,6.87,0.26,1.58,50.37,50.37,45.0,Low,Estimated(Category),Medium,2.26,Veg
Frozen frosty fruit salad (Phalon ka salaad),15.61,1.68,4.17,0.26,103.51,103.51,45.0,Low,Estimated(Category),Medium,7.02,Veg
French dressing,3.68,0.32,79.65,0.22,733.77,733.77,25.0,Low,Estimated(Nutrient),Low,0.92,Veg
Mayonnaise without eggs,3.98,2.13,33.84,0.04,329.05,329.05,25.0,Low,Estimated(Nutrient),Low,1.0,Non-Veg
Curd dressing ,8.03,5.59,2.9,0.22,78.8,78.8,35.0,Low,Estimated(Category),Medium,2.81,Veg
Carrot raita (Gajar ka raita),7.19,4.14,2.19,1.69,64.78,64.78,45.0,Low,Estimated(Category),Medium,3.24,Veg
Pumpkin raita (Kaddu ka raita),6.02,3.74,1.88,1.04,55.6,55.6,33.3,Low,Estimated(Nutrient),Low,2.0,Veg
Mint and peanut raita (Pudinay aur moongfali ka raita),7.31,7.05,6.19,1.79,112.05,112.05,45.0,Low,Estimated(Category),Medium,3.29,Veg
Spinach raita (Palak ka raita),5.06,3.95,1.86,1.39,52.75,52.75,29.8,Low,Estimated(Nutrient),Low,1.51,Veg
Bathua raita,5.31,4.13,1.76,2.19,54.4,54.4,30.5,Low,Estimated(Nutrient),Low,1.62,Veg
Pineapple raita (Ananas ka raita),8.62,3.9,2.02,1.39,67.74,67.74,45.0,Low,Estimated(Category),Medium,3.88,Veg
Banana raita (Kele ka raita),13.51,4.13,2.07,1.0,89.03,89.03,63.0,Medium,Estimated(Category),Medium,8.51,Veg
Mango raita (Aam ka raita),8.23,3.9,2.14,0.89,67.37,67.37,45.0,Low,Estimated(Category),Medium,3.7,Veg
Guava raita (Amarood ka raita),7.27,4.19,2.07,3.0,64.36,64.36,35.0,Low,Estimated(Nutrient),Low,2.54,Veg
Grapes raita (Angoor ka raita),9.66,3.98,2.07,0.71,72.59,72.59,45.0,Low,Estimated(Category),Medium,4.35,Veg
Bottle gourd kheer (Ghiya/Lauki kheer),10.0,2.7,3.86,0.55,84.07,84.07,39.9,Low,Estimated(Nutrient),Low,3.99,Veg
Pumpkin kheer (Kaddu ki kheer),10.44,2.76,3.86,0.63,86.35,86.35,40.5,Low,Estimated(Nutrient),Low,4.23,Veg
Apple kheer (Seb ki kheer),11.34,2.14,3.18,0.51,81.3,81.3,45.0,Low,Estimated(Category),Medium,5.1,Veg
Caramel custard (baked),14.95,5.11,5.01,0.0,122.7,122.7,40.1,Low,Estimated(Nutrient),Low,5.99,Veg
Vanilla ice cream without egg,14.21,2.69,18.15,0.0,228.67,228.67,63.0,Medium,Estimated(Category),Medium,8.95,Non-Veg
Vanilla ice cream with egg,11.71,4.16,17.02,0.0,214.85,214.85,63.0,Medium,Estimated(Category),Medium,7.38,Non-Veg
Strawberry ice cream,12.26,4.15,16.96,0.0,215.61,215.61,45.0,Low,Estimated(Category),Medium,5.52,Veg
Chocochip ice cream,16.75,4.23,17.93,0.0,241.45,241.45,63.0,Medium,Estimated(Category),Medium,10.55,Veg
Choconut ice cream,23.13,5.04,18.49,0.51,273.96,273.96,63.0,Medium,Estimated(Category),Medium,14.57,Veg
